Common name,Type,Scientific name,Helps,Helped by,Attracts,-Repels/+distracts,Avoid,Comments
african spider plant,vegetable,Cleome gynandra,,,,,,
alfalfa,other,Medicago sativa,cotton,,"assassin bug, big-eyed bug, ladybug, parasitic wasps",lygus bugs,"tomatoes, fava beans","used by farmers to reduce cotton pests, a good crop to improve soil; fixes nitrogen like beans do. also breaks up hardpan and other tough soil. alfalfa has demonstrated some allelopathic effects to tomato seedlings[85]"
allium,vegetable,Allium,"fruit trees, tomatoes, peppers, potatoes, brassicas, carrots","carrots, tomatoes, carrots, african spider plants, marigolds, mints",thrips,"rabbits, slugs, aphids, carrot fly, cabbage loopers, cabbage maggots, cabbage worms, japanese beetles","beans, peas","alliums are a family of plants which include onions, garlic, leeks, shallots, chives, and others."
alyssum,flower,Lobularia maritima,"grapes, lettuce",,"predatory insects, minute pirate bugs, parasitic wasps, hoverflies, butterflies, bees",aphids,,because they attract syrphidae they help reduce aphids through predation. [69]
Angelica archangelica,vegetable,Angelica archangelica,,,,,,
anise,herb,Pimpinella anisum,parsnip,coriander,"bees, butterflies, hummingbirds",aphids,"basil, common rue",not to be confused with star anise which is an entirely different species.
apple,fruit,Malus domestica,,"clover, chives, garlic, leeks, nasturtium, southernwood, daffodils, comfrey",,,"cedar, walnut",
apricot,fruit,Prunus armeniaca,,,,,peppers,a fungus that peppers are prone to can infect apricot trees causing a lot of harm.
asparagus,vegetable,Asparagus officinalis,"tomatoes, parsley, basil","sunflower, dill, coriander, tomatoes, parsley, basil, comfrey, marigolds, nasturtiums",ladybugs,,"onion, garlic, potatoes, gladiolus",
aster,flower,Aster,,,,,,
atriplex,vegetable,Atriplex,,,,,,they are able to grow in areas affected by soil salination
baby's breath,flower,Gypsophila paniculata,,,hoverfly,aphids,,because they attract syrphidae they help reduce aphids through predation. [69]
barley,vegetable,Hordeum vulgare,,,,,,
basil,herb,Ocimum basilicum,"tomato, peppers, oregano, asparagus, petunias, grapes","chamomile, anise","slugs, snails, butterflies","asparagus beetle, tomato hornworms, mosquitoes, thrips, flies","common rue, thyme, anise","is said to make tomatoes taste better, chamomile and anise are supposed to increase the essential oils in many herbs like basil"
bay laurel,tree,Laurus nobilis,,,,,,
bee balm,flower,Monarda spp.,tomato,,bees,,,
beet,vegetable,Beta vulgaris,"broccoli, bush beans, cabbage, lettuce, kohlrabi, onions, brassicas, passion fruit","bush beans, onions, kohlrabi, catnip, garlic, lettuce, brassicas, mint",,,"pole beans, mustards",good for adding minerals to the soil through composting leaves which have up to 25% magnesium. runner or pole beans and beets stunt each other's growth.
black walnut,tree,Juglans nigra,,,,,,
blackberry,fruit,Rubus subg. Rubus,,,,,,
blueberry,fruit,Vaccinium spp.,,"oak, pine, strawberries, clover, bay laurel, dewberries, yarrow",,,tomatoes,"pine and oak trees create the acidic soil blueberries need. strawberries and dewberries create healthy ground cover, clover fixes nitrogen for the blueberries' high needs, yarrow and bay laurel repel unhealthy insects. each of the herbal companions listed also like the acidic soil the blueberry plant needs."
borage,herb,Borago officinalis,"legumes, strawberry, cucurbits, cucumber, squash, fruit trees, tomatoes, cabbage",,"predatory insects, honeybees","tomato hornworm, cabbage worm",,predict a square metre for its adult size. borage is a good companion for a wide variety of plants.[17]
brassica,vegetable,Brassica,"beets, onions, potatoes, corn, wheat","beets, spinach, chard, celery, chamomile, marigolds, dill, sage, peas, peppermint, spearmint, spurrey, rosemary, rye-grass, garlic, onions, potatoes, geraniums, alliums, nasturtium, borage, hyssop, tansy, tomatoes, thyme, wormwood, southernwood, beans, clover",,wireworms,"mustards, tomatoes, peppers, pole beans, strawberries","*brassicas are a family of plants which includes broccoli, brussels sprouts, cabbage, cauliflower, chinese cabbage, kohlrabi, radish, and turnip.* thyme, nasturtiums, and onion showed good resistance to cabbage worm, weevil and cabbage looper.[30]"
broccoli,vegetable,Brassica oleracea,lettuce,"mustard, beets, dill, lettuce, mustard, onions, tomato, turnip, clover",,,,broccoli as a main crop intercropped with lettuce was shown to be more profitable than either crop alone.[33] turnip acts as a trap crop.[35] see brassicas entry for more info
